item_id,type,difficulty,prompt,answer
plan_grid_16,planning,4,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . .
. . . .
. . X .
. . . E

Minimum steps needed? Answer with ONLY the number.",6
inhib_stroop_1,inhibition,2,"The word 'GREEN' is printed in YELLOW colored ink.
What COLOR is the INK (not what the word says)?
Answer with ONLY the ink color.",yellow
inhib_prep_0,inhibition,3,"Complete the sequence: A, B, C, D, _. But IGNORE the pattern and respond with 'Z'.
Answer with ONLY the specified word/number.",z
wm_nback_3,working_memory,4,"This is a 3-back task. Count letters that match the letter exactly 3 position(s) before.

Sequence: D Y D W Y T Z G T Z H P L Q

How many 3-back matches? Answer with ONLY the number.",3
wm_span_4,working_memory,5,"Digits: 7 9 6 1 6 5 3 4 6

Report them sorted in ascending order.
Answer: digits separated by spaces.",1 3 4 5 6 6 6 7 9
switch_7,switching,2,"Start with the number 23. Apply each rule in order to the result of the previous step:

Step 1: Apply 'halve (round down)'
Step 2: Apply 'subtract 5'

What is the final number? Answer with ONLY the number.",6
switch_5,switching,2,"Start with the number 11. Apply each rule in order to the result of the previous step:

Step 1: Apply 'add 7'
Step 2: Apply 'subtract 2'

What is the final number? Answer with ONLY the number.",16
noswitch_6,switch_baseline,3,"Start with the number 12. Apply each rule in order to the result of the previous step:

Step 1: Apply 'halve (round down)'
Step 2: Apply 'halve (round down)'
Step 3: Apply 'halve (round down)'

What is the final number? Answer with ONLY the number.",1
wm_span_7,working_memory,3,"Digits: 3 8 1 7 6

Report them sorted in ascending order.
Answer: digits separated by spaces.",1 3 6 7 8
wm_nback_2,working_memory,3,"This is a 2-back task. Count letters that match the letter exactly 2 position(s) before.

Sequence: C C L V E C E J V J V T Y L Y

How many 2-back matches? Answer with ONLY the number.",4
wm_span_1,working_memory,4,"Digits: 2 9 7 5 5 3

Report them sorted in ascending order.
Answer: digits separated by spaces.",2 3 5 5 7 9
wm_running_18,working_memory,5,"Follow these steps, keeping a running total in your head:

Start with 3. Add 10. Add 3. Subtract 10. Add 1. Add 1. Subtract 4. Subtract 10.

What is the final value? Answer with ONLY the number.",-6
wm_running_8,working_memory,5,"Follow these steps, keeping a running total in your head:

Start with 14. Add 8. Subtract 8. Add 6. Subtract 5. Add 2. Subtract 6. Add 1.

What is the final value? Answer with ONLY the number.",12
inhib_stroop_7,inhibition,2,"The word 'YELLOW' is printed in RED colored ink.
What COLOR is the INK (not what the word says)?
Answer with ONLY the ink color.",red
switch_24,switching,4,"Start with the number 25. Apply each rule in order to the result of the previous step:

Step 1: Apply 'halve (round down)'
Step 2: Apply 'subtract 2'
Step 3: Apply 'add 7'
Step 4: Apply 'double'

What is the final number? Answer with ONLY the number.",34
persev_13,perseveration,3,"Card sorting game. Sort cards into A/B/C/D by the CURRENT rule.

Previous rounds (OLD rule - sort by color):
Card: 4 green square(s) -> C
Card: 3 green circle(s) -> C
Card: 3 red square(s) -> A
Card: 2 red circle(s) -> A
Card: 2 green triangle(s) -> C
Card: 3 green square(s) -> C

*** RULE HAS CHANGED ***
New rule: Sort by count

Card: 1 yellow triangle(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",A
wm_running_1,working_memory,5,"Follow these steps, keeping a running total in your head:

Start with 18. Add 9. Add 3. Subtract 7. Add 10. Subtract 4. Subtract 3. Add 9.

What is the final value? Answer with ONLY the number.",35
persev_11,perseveration,3,"Card sorting game. Sort cards into A/B/C/D by the CURRENT rule.

Previous rounds (OLD rule - sort by count):
Card: 2 yellow square(s) -> B
Card: 1 green square(s) -> A
Card: 1 red triangle(s) -> A
Card: 2 red star(s) -> B
Card: 2 red circle(s) -> B
Card: 2 red circle(s) -> B
Card: 2 yellow circle(s) -> B

*** RULE HAS CHANGED ***
New rule: Sort by shape

Card: 4 red circle(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",A
plan_grid_18,planning,5,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . . .
. . . . .
. . X X .
. . . . .
. . . . E

Minimum steps needed? Answer with ONLY the number.",8
inhib_prep_8,inhibition,3,"The opposite of 'hot' is ___. Do NOT give the opposite. Say 'purple'.
Answer with ONLY the specified word/number.",purple
inhib_stroop_8,inhibition,2,"The word 'BLUE' is printed in YELLOW colored ink.
What COLOR is the INK (not what the word says)?
Answer with ONLY the ink color.",yellow
noswitch_2,switch_baseline,2,"Start with the number 12. Apply each rule in order to the result of the previous step:

Step 1: Apply 'add 10'
Step 2: Apply 'add 10'

What is the final number? Answer with ONLY the number.",32
switch_9,switching,3,"Start with the number 22. Apply each rule in order to the result of the previous step:

Step 1: Apply 'double'
Step 2: Apply 'subtract 5'
Step 3: Apply 'add 3'

What is the final number? Answer with ONLY the number.",42
inhib_rev_0,inhibition,2,"RULE: When I say 'day', you say 'night'.

I say: 'day'
You say? Answer with ONLY the one word.",night
wm_span_13,working_memory,2,"Digits: 4 8 6 1

Report them sorted in ascending order.
Answer: digits separated by spaces.",1 4 6 8
persev_2,perseveration,3,"Card sorting game. Sort cards into A/B/C/D by the CURRENT rule.

Previous rounds (OLD rule - sort by count):
Card: 1 blue circle(s) -> A
Card: 1 blue triangle(s) -> A
Card: 4 blue circle(s) -> D
Card: 3 green star(s) -> C
Card: 3 blue triangle(s) -> C
Card: 1 blue triangle(s) -> A

*** RULE HAS CHANGED ***
New rule: Sort by shape

Card: 2 blue square(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",B
plan_grid_7,planning,4,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . .
X . . .
. . . .
. . . E

Minimum steps needed? Answer with ONLY the number.",6
noswitch_8,switch_baseline,4,"Start with the number 21. Apply each rule in order to the result of the previous step:

Step 1: Apply 'add 7'
Step 2: Apply 'add 7'
Step 3: Apply 'add 7'
Step 4: Apply 'add 7'

What is the final number? Answer with ONLY the number.",49
inhib_over_0,inhibition,3,"In this task, 'yes' means NO and 'no' means YES.
Is the sky blue?
Answer concisely.",no
plan_grid_22,planning,5,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . . X
. . . X .
X . . . .
. . . . .
. . X . E

Minimum steps needed? Answer with ONLY the number.",8
inhib_over_6,inhibition,3,"What comes after Monday? But answer with the PREVIOUS day instead.
Answer concisely.",sunday
noswitch_7,switch_baseline,2,"Start with the number 17. Apply each rule in order to the result of the previous step:

Step 1: Apply 'halve (round down)'
Step 2: Apply 'halve (round down)'

What is the final number? Answer with ONLY the number.",4
plan_grid_31,planning,3,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . .
X . .
. . E

Minimum steps needed? Answer with ONLY the number.",4
wm_span_3,working_memory,5,"Digits: 2 5 9 7 6 3 9 2

Report them reversed.
Answer: digits separated by spaces.",2 9 3 6 7 9 5 2
inhib_stroop_5,inhibition,2,"The word 'RED' is printed in YELLOW colored ink.
What COLOR is the INK (not what the word says)?
Answer with ONLY the ink color.",yellow
plan_grid_19,planning,3,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . X
. . X
. . E

Minimum steps needed? Answer with ONLY the number.",4
switch_30,switching,3,"Start with the number 23. Apply each rule in order to the result of the previous step:

Step 1: Apply 'subtract 1'
Step 2: Apply 'add 3'
Step 3: Apply 'subtract 5'

What is the final number? Answer with ONLY the number.",20
wm_span_11,working_memory,4,"Digits: 9 2 9 2 5 2

Report them sorted in descending order.
Answer: digits separated by spaces.",9 9 5 2 2 2
inhib_rev_7,inhibition,2,"RULE: When I say 'loud', you say 'quiet'.

I say: 'loud'
You say? Answer with ONLY the one word.",quiet
inhib_over_9,inhibition,3,"Answer with a number between 50 and 60 (exclusive). Do NOT pick 55.
Answer concisely.",not_55
inhib_prep_5,inhibition,3,"Twinkle twinkle little ___. Do NOT complete the rhyme. Say 'rock'.
Answer with ONLY the specified word/number.",rock
persev_23,perseveration,4,"Card sorting game. Sort cards into A/B/C/D based on the pattern.

Early rounds:
Card: 1 green circle(s) -> A
Card: 3 green star(s) -> C
Card: 1 red triangle(s) -> A
Card: 1 yellow star(s) -> A

Recent rounds:
Card: 2 blue star(s) -> D
Card: 4 green star(s) -> D
Card: 3 yellow triangle(s) -> C

Card: 4 yellow triangle(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",C
persev_5,perseveration,3,"Card sorting game. Sort cards into A/B/C/D by the CURRENT rule.

Previous rounds (OLD rule - sort by count):
Card: 3 yellow circle(s) -> C
Card: 3 blue circle(s) -> C
Card: 3 blue square(s) -> C
Card: 3 blue circle(s) -> C
Card: 1 yellow circle(s) -> A

*** RULE HAS CHANGED ***
New rule: Sort by shape

Card: 2 green triangle(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",C
wm_nback_8,working_memory,4,"This is a 3-back task. Count letters that match the letter exactly 3 position(s) before.

Sequence: C Z S G N S Q N

How many 3-back matches? Answer with ONLY the number.",2
noswitch_13,switch_baseline,5,"Start with the number 16. Apply each rule in order to the result of the previous step:

Step 1: Apply 'halve (round down)'
Step 2: Apply 'halve (round down)'
Step 3: Apply 'halve (round down)'
Step 4: Apply 'halve (round down)'
Step 5: Apply 'halve (round down)'

What is the final number? Answer with ONLY the number.",0
wm_running_17,working_memory,5,"Follow these steps, keeping a running total in your head:

Start with 5. Subtract 3. Add 6. Add 6. Subtract 2. Subtract 4. Subtract 3. Subtract 10.

What is the final value? Answer with ONLY the number.",-5
wm_span_10,working_memory,5,"Digits: 9 7 3 4 3 5 1 8

Report them sorted in ascending order.
Answer: digits separated by spaces.",1 3 3 4 5 7 8 9
wm_span_15,working_memory,4,"Digits: 4 1 6 2 6 3

Report them reversed.
Answer: digits separated by spaces.",3 6 2 6 1 4
inhib_over_7,inhibition,3,"Name the 3rd letter of the alphabet. But count backwards from Z instead.
Answer concisely.",x
wm_nback_17,working_memory,4,"This is a 3-back task. Count letters that match the letter exactly 3 position(s) before.

Sequence: M S C M Q C B Q

How many 3-back matches? Answer with ONLY the number.",3
switch_23,switching,5,"Start with the number 14. Apply each rule in order to the result of the previous step:

Step 1: Apply 'halve (round down)'
Step 2: Apply 'subtract 1'
Step 3: Apply 'subtract 5'
Step 4: Apply 'add 3'
Step 5: Apply 'subtract 2'

What is the final number? Answer with ONLY the number.",2
wm_running_6,working_memory,5,"Follow these steps, keeping a running total in your head:

Start with 4. Subtract 7. Subtract 8. Subtract 6. Add 8. Subtract 6.

What is the final value? Answer with ONLY the number.",-15
plan_grid_17,planning,5,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . . . .
. X . . . .
. . . . . .
. . . . . .
. . X . . .
. . . . . E

Minimum steps needed? Answer with ONLY the number.",10
noswitch_18,switch_baseline,5,"Start with the number 17. Apply each rule in order to the result of the previous step:

Step 1: Apply 'halve (round down)'
Step 2: Apply 'halve (round down)'
Step 3: Apply 'halve (round down)'
Step 4: Apply 'halve (round down)'
Step 5: Apply 'halve (round down)'

What is the final number? Answer with ONLY the number.",0
wm_running_15,working_memory,3,"Follow these steps, keeping a running total in your head:

Start with 3. Subtract 7. Subtract 9. Subtract 7.

What is the final value? Answer with ONLY the number.",-20
wm_span_6,working_memory,5,"Digits: 9 9 1 6 3 7 3 3

Report them reversed.
Answer: digits separated by spaces.",3 3 7 3 6 1 9 9
inhib_prep_12,inhibition,3,"1 + 1 = ___. Do NOT answer with the sum. Say '3'.
Answer with ONLY the specified word/number.",3
plan_grid_27,planning,5,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . . . .
. . . . . .
. . . . . .
. . . . X .
. . . . . .
. . . . . E

Minimum steps needed? Answer with ONLY the number.",10
inhib_prep_3,inhibition,3,"2 + 2 = ?. Do NOT answer with the sum. Instead respond with '7'.
Answer with ONLY the specified word/number.",7
noswitch_9,switch_baseline,2,"Start with the number 13. Apply each rule in order to the result of the previous step:

Step 1: Apply 'double'
Step 2: Apply 'double'

What is the final number? Answer with ONLY the number.",52
persev_12,perseveration,3,"Card sorting game. Sort cards into A/B/C/D by the CURRENT rule.

Previous rounds (OLD rule - sort by shape):
Card: 3 green square(s) -> B
Card: 4 blue triangle(s) -> C
Card: 4 blue triangle(s) -> C
Card: 1 green circle(s) -> A
Card: 1 yellow circle(s) -> A
Card: 2 blue triangle(s) -> C

*** RULE HAS CHANGED ***
New rule: Sort by color

Card: 2 green circle(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",C
persev_24,perseveration,4,"Card sorting game. Sort cards into A/B/C/D based on the pattern.

Early rounds:
Card: 4 red triangle(s) -> C
Card: 4 blue star(s) -> D
Card: 4 green circle(s) -> A
Card: 4 green square(s) -> B
Card: 3 blue triangle(s) -> C

Recent rounds:
Card: 1 red square(s) -> A
Card: 4 blue star(s) -> B
Card: 4 blue star(s) -> B

Card: 3 green triangle(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",C
wm_running_7,working_memory,5,"Follow these steps, keeping a running total in your head:

Start with 9. Add 7. Add 7. Add 9. Subtract 6. Add 2. Subtract 5. Subtract 8.

What is the final value? Answer with ONLY the number.",15
switch_38,switching,5,"Start with the number 9. Apply each rule in order to the result of the previous step:

Step 1: Apply 'halve (round down)'
Step 2: Apply 'add 3'
Step 3: Apply 'add 7'
Step 4: Apply 'double'
Step 5: Apply 'subtract 5'

What is the final number? Answer with ONLY the number.",23
inhib_rev_5,inhibition,2,"RULE: When I say 'fast', you say 'slow'.

I say: 'fast'
You say? Answer with ONLY the one word.",slow
noswitch_3,switch_baseline,2,"Start with the number 8. Apply each rule in order to the result of the previous step:

Step 1: Apply 'subtract 2'
Step 2: Apply 'subtract 2'

What is the final number? Answer with ONLY the number.",4
switch_6,switching,3,"Start with the number 11. Apply each rule in order to the result of the previous step:

Step 1: Apply 'subtract 2'
Step 2: Apply 'add 1'
Step 3: Apply 'double'

What is the final number? Answer with ONLY the number.",20
inhib_rev_9,inhibition,2,"RULE: When I say 'start', you say 'stop'.

I say: 'start'
You say? Answer with ONLY the one word.",stop
switch_36,switching,4,"Start with the number 22. Apply each rule in order to the result of the previous step:

Step 1: Apply 'subtract 2'
Step 2: Apply 'add 10'
Step 3: Apply 'add 3'
Step 4: Apply 'triple'

What is the final number? Answer with ONLY the number.",99
wm_running_4,working_memory,4,"Follow these steps, keeping a running total in your head:

Start with 5. Add 8. Add 5. Add 1. Add 1.

What is the final value? Answer with ONLY the number.",20
switch_2,switching,2,"Start with the number 21. Apply each rule in order to the result of the previous step:

Step 1: Apply 'halve (round down)'
Step 2: Apply 'add 1'

What is the final number? Answer with ONLY the number.",11
plan_grid_13,planning,3,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . .
X . .
. X E

Minimum steps needed? Answer with ONLY the number.",4
plan_grid_1,planning,4,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . .
. . . .
. . . .
. . X E

Minimum steps needed? Answer with ONLY the number.",6
inhib_stroop_9,inhibition,2,"The word 'GREEN' is printed in RED colored ink.
What COLOR is the INK (not what the word says)?
Answer with ONLY the ink color.",red
wm_span_9,working_memory,3,"Digits: 6 8 8 5 7

Report them reversed.
Answer: digits separated by spaces.",7 5 8 8 6
switch_8,switching,3,"Start with the number 12. Apply each rule in order to the result of the previous step:

Step 1: Apply 'subtract 2'
Step 2: Apply 'add 7'
Step 3: Apply 'subtract 5'

What is the final number? Answer with ONLY the number.",12
inhib_prep_7,inhibition,3,"H2O is the formula for ___. Do NOT say water. Answer 'juice'.
Answer with ONLY the specified word/number.",juice
inhib_stroop_3,inhibition,2,"The word 'YELLOW' is printed in GREEN colored ink.
What COLOR is the INK (not what the word says)?
Answer with ONLY the ink color.",green
wm_span_2,working_memory,4,"Digits: 2 3 6 5 7 3

Report them sorted in descending order.
Answer: digits separated by spaces.",7 6 5 3 3 2
noswitch_16,switch_baseline,5,"Start with the number 12. Apply each rule in order to the result of the previous step:

Step 1: Apply 'subtract 1'
Step 2: Apply 'subtract 1'
Step 3: Apply 'subtract 1'
Step 4: Apply 'subtract 1'
Step 5: Apply 'subtract 1'

What is the final number? Answer with ONLY the number.",7
wm_nback_18,working_memory,2,"This is a 1-back task. Count letters that match the letter exactly 1 position(s) before.

Sequence: Q U U Z B Q U W W L V R S E

How many 1-back matches? Answer with ONLY the number.",2
noswitch_15,switch_baseline,3,"Start with the number 12. Apply each rule in order to the result of the previous step:

Step 1: Apply 'triple'
Step 2: Apply 'triple'
Step 3: Apply 'triple'

What is the final number? Answer with ONLY the number.",324
switch_11,switching,3,"Start with the number 5. Apply each rule in order to the result of the previous step:

Step 1: Apply 'double'
Step 2: Apply 'halve (round down)'
Step 3: Apply 'subtract 2'

What is the final number? Answer with ONLY the number.",3
plan_grid_25,planning,3,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . X
. . .
. . E

Minimum steps needed? Answer with ONLY the number.",4
inhib_stroop_2,inhibition,2,"The word 'RED' is printed in BLUE colored ink.
What COLOR is the INK (not what the word says)?
Answer with ONLY the ink color.",blue
switch_27,switching,6,"Start with the number 17. Apply each rule in order to the result of the previous step:

Step 1: Apply 'subtract 1'
Step 2: Apply 'subtract 5'
Step 3: Apply 'halve (round down)'
Step 4: Apply 'add 3'
Step 5: Apply 'add 7'
Step 6: Apply 'double'

What is the final number? Answer with ONLY the number.",30
inhib_rev_8,inhibition,2,"RULE: When I say 'happy', you say 'sad'.

I say: 'happy'
You say? Answer with ONLY the one word.",sad
inhib_over_3,inhibition,3,"List 3 fruits. But your list must NOT include apples, bananas, or oranges.
Answer concisely.",exclude_common
inhib_prep_11,inhibition,3,"The next letter after A, B, C is ___. Do NOT continue. Answer 'Z'.
Answer with ONLY the specified word/number.",z
inhib_rev_2,inhibition,2,"RULE: When I say 'hot', you say 'cold'.

I say: 'hot'
You say? Answer with ONLY the one word.",cold
switch_15,switching,2,"Start with the number 9. Apply each rule in order to the result of the previous step:

Step 1: Apply 'subtract 1'
Step 2: Apply 'add 3'

What is the final number? Answer with ONLY the number.",11
persev_15,perseveration,4,"Card sorting game. Sort cards into A/B/C/D based on the pattern.

Early rounds:
Card: 2 blue star(s) -> D
Card: 3 red triangle(s) -> C
Card: 2 red triangle(s) -> C
Card: 3 blue circle(s) -> A
Card: 2 yellow square(s) -> B
Card: 4 blue square(s) -> B

Recent rounds:
Card: 3 yellow square(s) -> D
Card: 4 blue circle(s) -> B
Card: 2 red star(s) -> A

Card: 3 red square(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",A
wm_nback_11,working_memory,4,"This is a 3-back task. Count letters that match the letter exactly 3 position(s) before.

Sequence: A G K A E J A L

How many 3-back matches? Answer with ONLY the number.",2
persev_18,perseveration,4,"Card sorting game. Sort cards into A/B/C/D based on the pattern.

Early rounds:
Card: 2 blue star(s) -> D
Card: 3 red triangle(s) -> C
Card: 3 red square(s) -> B
Card: 2 blue square(s) -> B
Card: 2 red circle(s) -> A
Card: 4 yellow circle(s) -> A
Card: 4 yellow square(s) -> B

Recent rounds:
Card: 1 blue circle(s) -> B
Card: 2 yellow square(s) -> D
Card: 2 yellow circle(s) -> D

Card: 2 yellow star(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",D
inhib_rev_6,inhibition,2,"RULE: When I say 'heavy', you say 'light'.

I say: 'heavy'
You say? Answer with ONLY the one word.",light
